Date,Sales_Amount,Unit_Price,Sales_Quantity,Customer_Rating,Product_Category,Product_Name,Sales_Region,Sales_Person,Customer_ID,Is_Premium,Notes
2023-01-01,1200.5,120.05,10.0,4.0,Electronics,Ultra Phone,North,SP001,CUST00001,True,Good customer
2023-01-02,980.75,98.08,10.0,5.0,Clothing,Premium Watch,South,SP002,CUST00002,False,Needs follow-up
2023-01-03,3500.0,175.0,20.0,3.0,Electronics,Elite Laptop,East,SP001,CUST00003,True,Premium member
2023-01-06,2800.0,140.0,20.0,4.0,Electronics,Ultra Laptop,North,SP001,CUST00001,True,Good customer
2023-01-08,4500.75,150.03,30.0,5.0,Electronics,Premium Phone,East,SP001,CUST00007,True,Premium member
2023-01-11,1100.5,110.05,10.0,4.0,Electronics,Basic Phone,North,SP005,CUST00010,True,Good customer
2023-01-13,3200.0,160.0,20.0,3.0,Electronics,Pro Laptop,East,SP001,CUST00012,True,Premium member
2023-01-14,599.99,85.71,7.0,2.0,Books,Elite Tablet,West,SP003,CUST00013,False,First purchase
2023-01-15,1550.5,155.05,10.0,4.0,Sports,Basic Camera,Central,SP004,CUST00014,True,Good customer
2023-01-16,2100.0,105.0,20.0,5.0,Electronics,Premium Laptop,North,SP001,CUST00015,True,Premium member
2023-01-18,3300.25,165.01,20.0,4.0,Electronics,Elite Phone,East,SP001,CUST00017,True,Good customer
2023-01-20,850.0,170.0,5.0,3.0,Sports,Premium Camera,Central,SP004,CUST00019,True,First purchase
2023-01-21,1800.5,120.03,15.0,4.0,Electronics,Basic Laptop,North,SP005,CUST00020,True,Good customer
2023-01-23,4200.0,140.0,30.0,5.0,Electronics,Ultra Phone,East,SP001,CUST00022,True,Premium member
2023-01-26,1350.5,135.05,10.0,3.0,Electronics,Premium Phone,North,SP001,CUST00025,True,Good customer
2023-01-28,3800.25,190.01,20.0,4.0,Electronics,Elite Laptop,East,SP001,CUST00027,True,Premium member
2023-01-29,680.0,97.14,7.0,2.0,Books,Ultra Tablet,West,SP003,CUST00028,False,First purchase
2023-01-31,2400.75,120.04,20.0,4.0,Electronics,Pro Laptop,North,SP005,CUST00030,True,Good customer
2023-02-02,4800.0,160.0,30.0,5.0,Electronics,Basic Phone,East,SP001,CUST00032,True,Premium member
2023-02-05,1650.5,165.05,10.0,3.0,Electronics,Pro Phone,North,SP001,CUST00035,True,Good customer
2023-02-07,3600.25,180.01,20.0,4.0,Electronics,Elite Laptop,East,SP001,CUST00037,True,Premium member
2023-02-08,720.0,102.86,7.0,2.0,Books,Ultra Tablet,West,SP003,CUST00038,False,First purchase
2023-02-10,2200.75,110.04,20.0,4.0,Electronics,Pro Laptop,North,SP005,CUST00040,True,Good customer
2023-02-12,5200.0,173.33,30.0,5.0,Electronics,Basic Phone,East,SP001,CUST00042,True,Premium member
2023-02-15,1750.5,175.05,10.0,3.0,Electronics,Pro Phone,North,SP001,CUST00045,True,Good customer
2023-02-17,3900.25,195.01,20.0,4.0,Electronics,Elite Laptop,East,SP001,CUST00047,True,Premium member
2023-02-18,780.0,111.43,7.0,2.0,Books,Ultra Tablet,West,SP003,CUST00048,False,First purchase
2023-02-20,2600.75,130.04,20.0,4.0,Electronics,Pro Laptop,North,SP005,CUST00050,True,Good customer
2023-02-22,5600.0,186.67,30.0,5.0,Electronics,Basic Phone,East,SP001,CUST00002,True,Premium member
2023-02-25,1850.5,185.05,10.0,3.0,Electronics,Pro Phone,North,SP001,CUST00005,True,Good customer
2023-02-27,4200.25,210.01,20.0,4.0,Electronics,Elite Laptop,East,SP001,CUST00007,True,Premium member
2023-02-28,840.0,120.0,7.0,2.0,Books,Ultra Tablet,West,SP003,CUST00008,False,First purchase
2023-03-02,2800.75,140.04,20.0,4.0,Electronics,Pro Laptop,North,SP005,CUST00010,True,Good customer
2023-03-04,6000.0,200.0,30.0,5.0,Electronics,Basic Phone,East,SP001,CUST00012,True,Premium member
2023-03-07,1950.5,195.05,10.0,3.0,Electronics,Pro Phone,North,SP001,CUST00015,True,Good customer
2023-03-09,4500.25,225.01,20.0,4.0,Electronics,Elite Laptop,East,SP001,CUST00017,True,Premium member
2023-03-10,900.0,128.57,7.0,2.0,Books,Ultra Tablet,West,SP003,CUST00018,False,First purchase
2023-03-12,3000.75,150.04,20.0,4.0,Electronics,Pro Laptop,North,SP005,CUST00020,True,Good customer
2023-03-14,6400.0,213.33,30.0,5.0,Electronics,Basic Phone,East,SP001,CUST00022,True,Premium member
2023-03-17,2050.5,205.05,10.0,3.0,Electronics,Pro Phone,North,SP001,CUST00025,True,Good customer
2023-03-19,4800.25,240.01,20.0,4.0,Electronics,Elite Laptop,East,SP001,CUST00027,True,Premium member
2023-03-20,960.0,137.14,7.0,2.0,Books,Ultra Tablet,West,SP003,CUST00028,False,First purchase
2023-03-22,3200.75,160.04,20.0,4.0,Electronics,Pro Laptop,North,SP005,CUST00030,True,Good customer
2023-03-24,6800.0,226.67,30.0,5.0,Electronics,Basic Phone,East,SP001,CUST00032,True,Premium member
2023-03-27,2150.5,215.05,10.0,3.0,Electronics,Pro Phone,North,SP001,CUST00035,True,Good customer
2023-03-29,5100.25,255.01,20.0,4.0,Electronics,Elite Laptop,East,SP001,CUST00037,True,Premium member
2023-03-30,1020.0,145.71,7.0,2.0,Books,Ultra Tablet,West,SP003,CUST00038,False,First purchase
